case_name,complaint_description,suggested_labels,suggested_workflow,cluster_id
CASE-00001: Bribe for faster pension disbursal,The revenue inspector hinted that a payment of Rs 1000 would 'speed up' pension verification for an elderly applicant in Ring Road junction.,Pension / EPFO + Vigilance / Anti-Corruption Bureau,corruption_flag -> reroute_away_from_named_office -> vigilance_channel -> protect_complainant_identity,
CASE-00002: Industrial pollution affecting residents,"Factory near Canal Bank Road releasing thick smoke at night, residents reporting breathing difficulty and eye irritation.",Environment / Pollution Control,priority_flag_where_safety_relevant -> pattern_check -> escalate_if_repeat_or_confirmed,
CASE-00003: Repeated informal demand,"The sanitary inspector in Koyambedu asked for a cash 'tip' of about Rs 6000 before releasing my connection, not the first such demand.",Water Supply / Sanitation + Vigilance / Anti-Corruption Bureau,corruption_flag -> reroute_away_from_named_office -> vigilance_channel -> protect_complainant_identity,
CASE-00004: Garbage complaint (rephrased),"Waste not collected in Cross Cut Road — this is the 2th missed pickup, bins are overflowing and attracting stray animals.",Municipal Corporation - Sanitation,standard_route -> assign_L1 -> SLA_days,
CASE-00005: Threat against inspecting engineer (rephrased),The engineer inspecting the Kilpauk construction site was warned to 'watch himself' unless the case is closed.,Housing & Urban Development + Police Department,threat_flag -> human_review_or_security_escalation -> independent_of_underlying_issue_severity,
CASE-00006: Toilet complaint,Public toilet block in Hospital Road has no water supply and is unhygienic.,Municipal Corporation - Sanitation,standard_route -> assign_L1 -> SLA_days,
CASE-00007: Power Cut complaint,"Frequent unscheduled power cuts in Model Colony, sometimes 2 times a day.",Electricity Board,standard_route -> assign_L1 -> SLA_days,
CASE-00008: Euphemistic bribery (rephrased),It was implied by the field surveyor that a Rs 50000 'facilitation amount' would get my paperwork cleared immediately.,Transport / RTO + Vigilance / Anti-Corruption Bureau,corruption_flag -> reroute_away_from_named_office -> vigilance_channel -> protect_complainant_identity,
CASE-00009: Euphemistic bribery,The linesman said to just pay the 'processing charge' of Rs 30000 in cash and the file will clear same day.,Transport / RTO + Vigilance / Anti-Corruption Bureau,corruption_flag -> reroute_away_from_named_office -> vigilance_channel -> protect_complainant_identity,
CASE-00010: Streetlight complaint,"Streetlight near Egmore has been off for 13 days, the road is very dark at night.",Electricity Board + Roads & PWD,standard_route -> assign_L1 -> SLA_days,
CASE-00011: Suspected outbreak / contamination cluster (case 2 of 3),My daughter fell sick after eating fruit bought near the corporation school in Airport Road junction — food poisoning symptoms.,Health Department / Hospital,corroboration_clustering -> match_geography_and_time_window -> auto_escalate_public_health_if_2plus_independent_reports -> do_not_wait_for_high_volume,OUTBREAK-047
CASE-00012: Bus Delay complaint,Bus route serving Main Bazaar Road is consistently 6 minutes late on weekday mornings.,Transport / RTO,standard_route -> assign_L1 -> SLA_days,
CASE-00013: Bus Delay complaint,Bus route serving Ashok Nagar is consistently 2 minutes late on weekday mornings.,Transport / RTO,standard_route -> assign_L1 -> SLA_days,
CASE-00014: Park complaint (rephrased),"The community park in Block C colony has been left unmaintained — broken play equipment, tall grass, not cleaned in 25 days.",Municipal Corporation - Sanitation,standard_route -> assign_L1 -> SLA_days,
CASE-00015: Ambiguous jurisdiction - streetlight vs electricity theft (rephrased),"Residents near Tambaram suspect the streetlight outage is tied to illegal power tapping nearby, not sure if that's electricity board or police jurisdiction.",Electricity Board + Police Department,structural_handling(split_or_reopen_or_sarcasm_check) -> human_review_where_ambiguous,
CASE-00016: Streetlight complaint (rephrased),"Streetlight complaint (formal follow-up): requesting repair of the non-functional pole light on Market Yard area, non-functional for approximately 14 days now, causing safety concerns for evening commuters.",Electricity Board,standard_route -> assign_L1 -> SLA_days,
CASE-00017: Park complaint (rephrased),"The community park in Ambattur has been left unmaintained — broken play equipment, tall grass, not cleaned in 13 days.",Municipal Corporation - Sanitation,standard_route -> assign_L1 -> SLA_days,
CASE-00018: Water Tanker complaint (rephrased),Requesting urgent attention: no municipal water tanker has visited Industrial Estate Road in 6 days despite the fixed schedule.,Water Supply / Sanitation + Municipal Corporation - Sanitation,standard_route -> assign_L1 -> SLA_days,
CASE-00019: Streetlight complaint (rephrased),"Streetlight complaint (formal follow-up): requesting repair of the non-functional pole light on Vadapalani, non-functional for approximately 15 days now, causing safety concerns for evening commuters.",Electricity Board + Roads & PWD,standard_route -> assign_L1 -> SLA_days,
CASE-00020: Ration card correction (rephrased),My ration card address-update request from Panchayat Road has been sitting unprocessed for 104 days now.,Public Distribution System (Ration),standard_route -> assign_L1 -> escalate_if_beyond_SLA,
CASE-00021: Garbage complaint (rephrased),"Waste not collected in Chromepet — this is the 4th missed pickup, bins are overflowing and attracting stray animals.",Municipal Corporation - Sanitation,standard_route -> assign_L1 -> SLA_days,
CASE-00022: Garbage complaint,Garbage truck has skipped Egmore for 6 collection cycles in a row now.,Municipal Corporation - Sanitation,standard_route -> assign_L1 -> SLA_days,
CASE-00023: Distress signal buried in pension grievance (rephrased),6 months of running between offices in Sathya Nagar for my pension and getting nowhere — honestly I don't know how much more of this I can take.,Pension / EPFO,wellbeing_risk_flag(separate_from_topic_classification) -> route_to_trained_human_followup -> do_not_close_with_bureaucratic_update_only,
CASE-00024: Scholarship delay (rephrased),"My scholarship was approved 118 days ago but the amount has still not reached my account, fee deadline is close.",Education Department,standard_route -> assign_L1 -> escalate_if_beyond_SLA,
CASE-00025: Pension release delay,"Pension application pending for 16 days with no update, resident of Nungambakkam, elderly applicant.",Pension / EPFO,standard_route -> assign_L1 -> escalate_if_beyond_SLA,
CASE-00026: Garbage complaint,Garbage truck has skipped Avadi for 6 collection cycles in a row now.,Municipal Corporation - Sanitation,standard_route -> assign_L1 -> SLA_days,
CASE-00027: Bus Delay complaint,Bus route serving Ward 3 is consistently 6 minutes late on weekday mornings.,Transport / RTO,standard_route -> assign_L1 -> SLA_days,
CASE-00028: Bus Delay complaint (rephrased),Commuters from Thiruvanmiyur report the morning bus service running 4 minutes behind schedule almost daily.,Transport / RTO,standard_route -> assign_L1 -> SLA_days,
CASE-00029: Fire response severely delayed,"Fire broke out in a residential building in Nehru Colony; fire engine took over 40 minutes to arrive, two people injured.",Fire & Emergency Services,fatality_or_injury_review_tier(not_standard_SLA) -> check_pattern_memory_same_location -> systemic_emergency_response_audit,
CASE-00030: Vague hostile language (rephrased),"Someone should really teach that clerk in Railway Colony a lesson at some point, the delays are unacceptable.",Multiple Departments (Split Required),threat_flag -> human_review_or_security_escalation -> independent_of_underlying_issue_severity,
CASE-00031: Property tax refund delay (rephrased),"The refund for excess property tax paid on my Perambur property was approved but not yet credited, 65 days and counting.",Municipal Corporation - Sanitation,standard_route -> assign_L1 -> escalate_if_beyond_SLA,
CASE-00032: Threat against inspecting engineer,Told the inspecting engineer in Porur that he 'better watch his back' if the illegal construction case isn't dropped.,Housing & Urban Development + Police Department,threat_flag -> human_review_or_security_escalation -> independent_of_underlying_issue_severity,
CASE-00033: Drain complaint (rephrased),Stormwater drain blockage in Block C colony is causing waterlogging on the road even with minor rainfall; mosquito breeding risk.,Municipal Corporation - Sanitation,standard_route -> assign_L1 -> SLA_days,
CASE-00034: Power Cut complaint (rephrased),"Electricity supply to Main Bazaar Road has been unreliable, with 6 unscheduled outages recorded this week alone.",Electricity Board,standard_route -> assign_L1 -> SLA_days,
CASE-00035: Ration card correction,"Requested correction on ration card (address change) for Ashok Nagar household filed 100 days ago, still not processed.",Public Distribution System (Ration),standard_route -> assign_L1 -> escalate_if_beyond_SLA,
CASE-00036: Water Tanker complaint,"Scheduled water tanker did not come to Lakshmi Nagar on the assigned day, 9 days without supply now.",Water Supply / Sanitation,standard_route -> assign_L1 -> SLA_days,
"CASE-00037: Hospital negligence, patient death (rephrased)",Family alleges that delayed oxygen supply at the Old Market Road government hospital led to a patient's death during an emergency.,Health Department / Hospital,fatality_or_injury_review_tier(not_standard_SLA) -> check_pattern_memory_same_location -> systemic_emergency_response_audit,
CASE-00038: Streetlight complaint,"Streetlight near Thiruvanmiyur has been off for 21 days, the road is very dark at night.",Electricity Board + Roads & PWD,standard_route -> assign_L1 -> SLA_days,
CASE-00039: Toilet complaint (rephrased),"The public toilet facility in Cross Cut Road has been without running water for days, cleanliness is very poor.",Municipal Corporation - Sanitation,standard_route -> assign_L1 -> SLA_days,
CASE-00040: Ambiguous jurisdiction - garbage vs drainage,"Garbage dumped into the drain near Cross Cut Road is blocking water flow, unclear if this is a sanitation issue or a drainage issue.",Municipal Corporation - Sanitation,structural_handling(split_or_reopen_or_sarcasm_check) -> human_review_where_ambiguous,
CASE-00041: Vague hostile language (rephrased),"Someone should really teach that panchayat secretary in Ward 33 a lesson at some point, the delays are unacceptable.",Multiple Departments (Split Required),threat_flag -> human_review_or_security_escalation -> independent_of_underlying_issue_severity,
CASE-00042: Bus Delay complaint,Bus route serving Perambur is consistently 6 minutes late on weekday mornings.,Transport / RTO,standard_route -> assign_L1 -> SLA_days,
CASE-00043: Park complaint,Children's park in Triplicane has broken swings and overgrown grass for over 8 days.,Municipal Corporation - Sanitation,standard_route -> assign_L1 -> SLA_days,
CASE-00044: Women's safety near transit stop,"Repeated harassment of women reported near the bus stop in Ambattur, especially after dark.",Police Department + Women & Child Welfare,priority_flag_where_safety_relevant -> pattern_check -> escalate_if_repeat_or_confirmed,
CASE-00045: Repeated informal demand (rephrased),This is not the first time — the linesman at Main Bazaar Road has again asked for around Rs 5000 unofficially before processing my request.,Water Supply / Sanitation + Vigilance / Anti-Corruption Bureau,corruption_flag -> reroute_away_from_named_office -> vigilance_channel -> protect_complainant_identity,
CASE-00046: Bus Delay complaint,Bus route serving Kodambakkam is consistently 3 minutes late on weekday mornings.,Transport / RTO,standard_route -> assign_L1 -> SLA_days,
CASE-00047: Bribe for faster pension disbursal (rephrased),An elderly resident of Sathya Nagar was told by the panchayat secretary that Rs 1500 would help move the pension file faster.,Pension / EPFO + Vigilance / Anti-Corruption Bureau,corruption_flag -> reroute_away_from_named_office -> vigilance_channel -> protect_complainant_identity,
CASE-00048: Passport verification delay (rephrased),It's been 125 days since I applied for passport renewal and the police verification visit still hasn't happened.,Police Department,standard_route -> assign_L1 -> escalate_if_beyond_SLA,
CASE-00049: Water Tanker complaint (rephrased),Requesting urgent attention: no municipal water tanker has visited Indira Nagar in 22 days despite the fixed schedule.,Water Supply / Sanitation + Municipal Corporation - Sanitation,standard_route -> assign_L1 -> SLA_days,
CASE-00050: Power Cut complaint,"Frequent unscheduled power cuts in Ambattur, sometimes 6 times a day.",Electricity Board + Roads & PWD,standard_route -> assign_L1 -> SLA_days,
CASE-00051: Bus Delay complaint,Bus route serving College Road is consistently 5 minutes late on weekday mornings.,Transport / RTO,standard_route -> assign_L1 -> SLA_days,
CASE-00052: Certificate delay (rephrased),"Income certificate application from Ward 15 filed 42 days back remains unissued, deadline is approaching fast.",Revenue Department / Land Records,standard_route -> assign_L1 -> escalate_if_beyond_SLA,
CASE-00053: Streetlight complaint,"Streetlight near Canal Bank Road has been off for 19 days, the road is very dark at night.",Electricity Board,standard_route -> assign_L1 -> SLA_days,
CASE-00054: Passport verification delay (rephrased),It's been 48 days since I applied for passport renewal and the police verification visit still hasn't happened.,Police Department,standard_route -> assign_L1 -> escalate_if_beyond_SLA,
CASE-00055: Ration card correction (rephrased),My ration card address-update request from Guindy has been sitting unprocessed for 31 days now.,Public Distribution System (Ration),standard_route -> assign_L1 -> escalate_if_beyond_SLA,
CASE-00056: Pothole complaint (rephrased),"The stretch of road near Anna Nagar has multiple deep potholes; two-wheeler riders have nearly fallen, needs urgent resurfacing.",Roads & PWD + Water Supply / Sanitation,standard_route -> assign_L1 -> SLA_days,
CASE-00057: Noise complaint,Loudspeaker from a commercial event in Tambaram continuing past permitted hours.,Police Department,standard_route -> assign_L1 -> SLA_days,
CASE-00058: Garbage complaint (rephrased),"Waste not collected in Sathya Nagar — this is the 6th missed pickup, bins are overflowing and attracting stray animals.",Municipal Corporation - Sanitation,standard_route -> assign_L1 -> SLA_days,
CASE-00059: Accident emergency response delay - fatality,"Accident at Ward 41 signal, cousin hit by a truck, no ambulance arrived for almost 20 minutes despite multiple calls, he did not survive.",Fire & Emergency Services + Police Department + Health Department / Hospital,fatality_or_injury_review_tier(not_standard_SLA) -> check_pattern_memory_same_location -> systemic_emergency_response_audit,
